id;processo;tribunal;natureza;distribuicao_data;numero;instancia;codigo_identificador;id
58;0700058-22.2017.8.02.0070;TJAL;INTERPELACAO;2017-03-08;7001445920178020048;1;"Interpelação 0700144-59.2017.8.02.0048";345687213
59;0000567-45.2012.4.02.5003;TRF2;"AGRAVO DE INSTRUMENTO";2022-02-08;50013272820224020000;2;"5001327-28.2022.4.02.0000 Agravo de Instrumento";473006335
60;0700144-59.2017.8.02.0048;TJAL;"PROCEDIMENTO ORDINARIO";2017-03-13;7000582220178020070;1;"Procedimento Ordinário 0700058-22.2017.8.02.0070";345007234
61;0145315-64.2017.4.02.5111;TRF2;"AGRAVO DE INSTRUMENTO";2021-10-20;50150140920214020000;2;"5015014-09.2021.4.02.0000 Agravo de Instrumento";463099371
62;0021678-58.2007.4.02.5101;TRF2;"APELACAO CIVEL";2021-07-01;216785820074025101;2;"0021678-58.2007.4.02.5101 Apelação Cível";453383691
63;0021678-58.2007.4.02.5101;TRF2;"CUMPRIMENTO DE SENTENCA";2020-04-27;5070574220204025101;1;"0507057-42.2020.4.02.5101 CUMPRIMENTO DE SENTENÇA";415724905
64;0021678-58.2007.4.02.5101;TRF2;"REINTEGRACAO MANUTENCAO DE POSSE - PROCEDIMENTOS ESPECIAIS DE JURISDICAO CONTENCIOSA - PROCEDIMENTOS ESPECIAIS - PROCEDIMENTO DE CONHECIMENTO - PROCESSO DE CONHECIMENTO - PROCESSO CIVEL E DO TRABALHO";2009-05-25;115406120094025101;1;"0011540-61.2009.4.02.5101 Reintegração / Manutenção de Posse - Procedimentos Especiais de Jurisdição Contenciosa - Procedimentos Especiais - Procedimento de Conhecimento - Processo de Conhecimento - Processo Cível e do Trabalho";453488666
65;0021678-58.2007.4.02.5101;TRF2;"AGRAVO DE INSTRUMENTO";2016-09-09;92492120164020000;2;"0009249-21.2016.4.02.0000 Agravo de Instrumento";453469632
66;0021678-58.2007.4.02.5101;TRF2;"CUMPRIMENTO DE SENTENCA - PROCEDIMENTO DE CUMPRIMENTO DE SENTENCA DECISAO - PROCESSO DE CONHECIMENTO - PROCESSO CIVEL E DO TRABALHO";2020-04-24;5070574220204025101;1;"0507057-42.2020.4.02.5101 Cumprimento de sentença - Procedimento de Cumprimento de Sentença/Decisão - Processo de Conhecimento - Processo Cível e do Trabalho";402058851
67;0160446-73.2018.8.09.0113;TJGO;"RESTITUICAO DE COISAS APREENDIDAS";2018-12-10;1604467320188090113;1;"160446-73.2018.8.09.0113 RESTITUICAO DE COISAS APREENDIDAS";348336519
68;0000503-47.2019.8.13.0671;TJMG;"MANDADO DE SEGURANCA";2019-01-10;5034720198130671;1;"0000503-47.2019.8.13.0671 Mandado de Segurança";348573823
69;8000013-76.2019.8.05.0034;TJBA;"PROCEDIMENTO COMUM CIVEL";2019-01-11;80000137620198050034;1;"PROCEDIMENTO COMUM CÍVEL 8000013-76.2019.8.05.0034";348722349
70;0800531-95.2019.8.14.0301;TJPA;"EXECUCAO FISCAL";2019-01-09;8005319520198140301;1;"EXECUÇÃO FISCAL 0800531-95.2019.8.14.0301";349634116
71;0000599-21.2008.4.01.4000;TRF1;"REMESSA NECESSARIA CIVEL";2012-09-04;5992120084014000;2;"0000599-21.2008.4.01.4000 Remessa Necessária Cível 04/09/2012";349868820
72;0800074-72.2019.8.14.0007;TJPA;"CARTA PRECATORIA CIVEL";2019-01-29;8000747220198140007;1;"CARTA PRECATÓRIA CÍVEL 0800074-72.2019.8.14.0007";351192263
73;0800230-33.2019.8.10.0052;TJMA;"AGRAVO DE INSTRUMENTO";2023-01-16;8004201620238100000;2;"AGRAVO DE INSTRUMENTO 0800420-16.2023.8.10.0000";515064584
74;1000488-43.2019.4.01.3900;TRF1;"APELACAO CIVEL 198";2019-07-09;10004884320194013900;2;"APELAÇÃO CÍVEL 1000488-43.2019.4.01.3900";370961727
75;8001116-23.2019.8.05.0001;TJBA;"PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL";2019-02-02;80011162320198050001;1;"PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL 8001116-23.2019.8.05.0001";351888121
76;8001135-29.2019.8.05.0001;TJBA;"PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL";2019-02-03;80011352920198050001;1;"PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL 8001135-29.2019.8.05.0001";351964535
77;0001237-68.2015.8.14.0005;TJPA;"APELACAO CIVEL";2016-04-01;12376820158140005;2;"0001237-68.2015.8.14.0005 Apelação Cível";352596861
78;8000221-81.2019.8.05.0124;TJBA;"REINTEGRACAO MANUTENCAO DE POSSE";2019-02-18;80002218120198050124;1;"REINTEGRAÇÃO / MANUTENÇÃO DE POSSE 8000221-81.2019.8.05.0124";353092563
79;8000326-84.2019.8.05.0277;TJBA;"PROCEDIMENTO ORDINARIO";2019-02-25;80003268420198050277;1;"PROCEDIMENTO ORDINÁRIO 8000326-84.2019.8.05.0277";353728171
80;8000236-61.2019.8.05.0185;TJBA;"EXECUCAO DE TITULO EXTRAJUDICIAL";2019-04-25;80002366120198050185;1;"EXECUÇÃO DE TÍTULO EXTRAJUDICIAL 8000236-61.2019.8.05.0185";359635523
81;0023130-55.2013.4.01.3700;TRF1;"APELACAO CIVEL";2018-04-16;231305520134013700;2;"APELAÇÃO CÍVEL 0023130-55.2013.4.01.3700";393362697
82;0023130-55.2013.4.01.3700;TRF1;"APELACAO CIVEL";2017-10-06;231305520134013700;2;"0023130-55.2013.4.01.3700 Apelação Cível 06/10/2017";359915043
83;0023130-55.2013.4.01.3700;TRF1;"65 - ACAO CIVIL PUBLICA CIVEL";2014-09-04;231305520134013700;1;"0023130-55.2013.4.01.3700 65 - Ação Civil Pública Cível 10/06/2013";393775194
84;0023130-55.2013.4.01.3700;TRF1;"65 - ACAO CIVIL PUBLICA";2014-09-04;231305520134013700;1;"0023130-55.2013.4.01.3700 65 - Ação Civil Pública 10/06/2013";359914938
85;0823390-08.2019.8.14.0301;TJPA;"ACAO CIVIL COLETIVA";2019-04-30;8233900820198140301;1;"AÇÃO CIVIL COLETIVA 0823390-08.2019.8.14.0301";359937417
86;1001100-54.2016.8.26.0699;TJSP;"DEMARCACAO DIVISAO";2009-07-22;16172320098260699;1;"Demarcação / Divisão 0001617-23.2009.8.26.0699";318456375
87;0824030-11.2019.8.14.0301;TJPA;"ACAO CIVIL COLETIVA";2019-05-03;8240301120198140301;1;"AÇÃO CIVIL COLETIVA 0824030-11.2019.8.14.0301";360402381
88;5003163-43.2018.4.04.7203;TRF4;"APELACAO CIVEL";2019-08-27;50031634320184047203;2;"5003163-43.2018.4.04.7203 Apelação Cível";480900463
89;5003163-43.2018.4.04.7203;TRF4;"AGRAVO DE INSTRUMENTO";2019-02-28;50076587420194040000;2;"5007658-74.2019.4.04.0000 Agravo de Instrumento";419183023
90;5003163-43.2018.4.04.7203;TRF4;"CUMPRIMENTO PROVISORIO DE SENTENCA";2019-06-28;50022060820194047203;1;"5002206-08.2019.4.04.7203 CUMPRIMENTO PROVISÓRIO DE SENTENÇA";369790953
91;5003163-43.2018.4.04.7203;TRF4;"AGRAVO DE INSTRUMENTO";2019-04-29;50182732620194040000;2;"5018273-26.2019.4.04.0000 Agravo de Instrumento";481153208
92;5003163-43.2018.4.04.7203;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2018-09-27;50031634320184047203;1;"REINTEGRAÇÃO / MANUTENÇÃO DE POSSE 5003163-43.2018.4.04.7203";335192820
93;5003163-43.2018.4.04.7203;TJSC;"REINTEGRACAO MANUTENCAO DE POSSE";2018-09-11;3015409520188240014;1;"Reintegração / Manutenção de Posse 0301540-95.2018.8.24.0014";333729489
94;0001731-76.2008.8.10.0008;TJMA;"CUMPRIMENTO DE SENTENCA";2019-02-15;8003268320198100008;1;"CUMPRIMENTO DE SENTENÇA 0800326-83.2019.8.10.0008";420146145
95;0000278-87.2016.8.10.0130;TJMA;"PROCESSO CIVEL E DO TRABALHO PROCESSO DE CONHECIMENTO PROCEDIMENTO DE CONHECIMENTO PROCEDIMENTO COMUM CIVEL";2016-04-04;2788720168100130;1;"278-87.2016.8.10.0130 PROCESSO CÍVEL E DO TRABALHO | Processo de Conhecimento | Procedimento de Conhecimento | Procedimento Comum Cível";362834534
96;0500014-97.2015.4.02.5111;TRF2;"INQUERITO POLICIAL - PORTARIA";2018-08-10;50003861320184025111;1;"5000386-13.2018.4.02.5111 PORTARIA";336180060
97;0003030-74.2016.4.01.3700;TJMA;"PROCESSO CIVEL E DO TRABALHO OUTROS PROCEDIMENTOS CARTAS CARTA PRECATORIA CIVEL";2017-06-12;7119320178100118;1;"711-93.2017.8.10.0118 PROCESSO CÍVEL E DO TRABALHO | Outros Procedimentos | Cartas | Carta Precatória Cível";346854526
98;0003030-74.2016.4.01.3700;TJMA;"CARTA PRECATORIA CIVEL";2017-06-08;8015223620178100048;1;"CARTA PRECATÓRIA CÍVEL 0801522-36.2017.8.10.0048";302015809
99;0000671-10.2019.4.01.4004;TRF1;"157 - CUMPRIMENTO PROVISORIO DE SENTENCA";2019-02-22;6711020194014004;1;"0000671-10.2019.4.01.4004 157 - Cumprimento Provisório de Sentença 22/02/2019";367055419
100;8000799-87.2019.8.05.0142;TJBA;"AGRAVO DE INSTRUMENTO";2022-11-21;80438196420228050000;2;"AGRAVO DE INSTRUMENTO 8043819-64.2022.8.05.0000";524944735
