;REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;DATA DA ABERTURA;ETAPA ATUAL PROCESSO FCP;PENDÊNCIA ;;;
1;NORDESTE;MA;PRESIDENTE SARNEY;BORORÓ;01420.100086/2020-43;20/01/2020;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;MA;BEQUIMÃO;BOA VISTA E IRITIUA;01420.100422/2020-58;10/03/2020;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;BA;SÍTIO QUINTO;BARREIRO, JUREMA, JARDIM SACO DO TINGUI, VAZA BARRIS E BARRAGEM DO GASPARINO;01420.003145/2014-98 ;24/03/2014;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;AL;INHAPI;AGUADINHA;01420.100570/2021-53;27/04/2021;ANALISADO;HISTÓRICO;;;
1;NORDESTE;BA;CONDE;POÇAS, TIMBÓ, SIRIBINHA, FUNDÃO, MUCAMBINHO, ALTAMIRA, JACÚ CANGURITO, RIO DE PEDRAS, FAZENDA BÚ, FAZENDA FUNDÃO, FAZENDA DO RIACHO DA FORMOSA, RIACHO CRISTALINA, SEMPRE VIVA, COMBÓ, FAZENDA ALTA E FAZENDA ESPINHEIRO;01420.015105/2013-16;25/11/2013;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;MA;ICATU;POVOADO DE RETIRO;01420.001081/2010-67;20/05/2010;ANALISADO;PROCESSO SEM CONTATO/E-MAIL;;;
1;NORDESTE;BA;ARAÇÁS;ONÇA DE BAIXO, ONÇA DE CIMA, VILA DO ARANHA, OLHOS D'AGUA, REGATÃO PATI, GAROUPA I, GAROUPA II, ARAÇAS MIRIM, LÔDO, RIACHO SUJO, PAPUSUL, PAU FERRO I, PAU FERRO II, MORGADO BAIXÃO, COVÕES, PALMEIRAS, MORGADO, FAZENDA DESTERRO, FAZENDA BOM SUCESSO, PIAÇAVA, ESTREITO E PATIOBA;01420.015104/2013-63;25/11/2013;VISITA TÉCNICA;ATA, HISTÓRICO E REQUERIMENTO;;;
1;NORDESTE;MA;PINHEIRO;ZÉ DE ADÃO;01420.100160/2020-21;30/01/2020;VISITA TÉCNICA;ATA, HISTÓRICO E REQUERIMENTO;;;
1;NORDESTE;BA;SENHOR DO BONFIM;TERREIRINHO;01420.100172/2023-07;13/01/2023;ANALISADO;HISTÓRICO ;;;
1;NORDESTE;BA;SENHOR DO BONFIM;CACHOEIRINHA;01420.100173/2023-43;13/01/2023;ANALISADO;HISTÓRICO ;;;
1;NORDESTE;CE;QUIXERAMOBIM;QUILOMBO MEARIM;01420.100200/2023-88;18/01/2023;ANALISADO;ATA;;;
1;SUDESTE;MG;BELO HORIZONTE;FAMÍLIA MATIAS;01420.102120/2022-86;26/10/2022;ANALISADO;REQUERIMENTO E ATA;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
