;REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;ETAPA ATUAL PROCESSO FCP;Nº DA PORTARIA;DATA DA PORTARIA NO DOU;Nº PROCESSO INCRA;ETAPA DO PROCESSO DE TITULAÇÃO
1;NORDESTE;MA;SANTA RITA;SITIO DO MEIO;01420.100396/2018-43;CERTIFICADA;75/2019;10/05/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;FILADÉLFIA;MASSAROCA;01420.100367/2017-09;CERTIFICADA;185/2018;26/07/2018;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;BIRITINGA;TRINDADE;01420.001188/2007-18;CERTIFICADA;86/2019;13/05/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;ILHÉUS;MORRO DO MIRIQUI E ALTO TERRA NOVA;01420.101947/2018-96;CERTIFICADA;88/2019;13/05/2019;54000.082007/2019-89;
1;NORDESTE;MA;ITAPECURU-MIRIM;CURUPATI;01420.100076/2019-74;CERTIFICADA;87/2019;13/05/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;IGAPORÃ;PASSAGEM DA PEDRA;01420.101522/2018-87;CERTIFICADA;120/2019;21/06/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;IBIPEBA;LAGOA DO CEDRO;01420.101301/2019-90;CERTIFICADA;138/2019;02/08/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;CE;MORRINHOS;ALTO ALEGRE ;01420.101569/2019-21;CERTIFICADA;166/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;CE;MORRINHOS;CURRALINHO;01420.101896/2018-01;CERTIFICADA;174/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;XIQUE-XIQUE;ILHA DE CHAMPRONA;01420.101766/2019-41;CERTIFICADA;175/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;TERRA NOVA;FAZENDA RETIRO;01420.100003/2017-11  ;CERTIFICADA;171/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;FORTUNA;ALTA FLORESTA DO POVOADO CAIÇARA;01420.101383/2019-72;CERTIFICADA;176/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;SANTA HELENA;MUNDICO;01420.101160/2019-13;CERTIFICADA;178/2019;01/11/2019;54230.008824/2013-76;
1;NORDESTE;MA;SANTA RITA E ITAPECURU-MIRIM;POVOADOS CONDURU, CONCEIÇÃO E ABANA FOGO DO PA SÃO BENEDITO;01420.100075/2019-20;CERTIFICADA;177/2019;01/11/2019;54230.001796/2009-80;
1;SUDESTE;MG;SALINAS;NOVA MATRONA;01420.101665/2019-70;CERTIFICADA;170/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;ITABIRA;CAPOEIRÃO;01420.100569/2019-12;CERTIFICADA;173/2019;01/11/2019;54000.033074/2020-11;
1;SUDESTE;MG;CONCEIÇÃO DO MATO DENTRO;UNIDOS DE CANDEIAS;01420.103107/2018-68;CERTIFICADA;172/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;PRESIDENTE KUBITSCHEK;ANDREQUICÉ;01420.102039/2018-10;CERTIFICADA;179/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;JANUÁRIA;CASA ARMADA - LIMEIRA;01420.101949/2019-66;CERTIFICADA;167/2019;01/11/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;CACHOEIRA;MUTECHO E ACUTINGA;01420.012864/2016-61;CERTIFICADA;237/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;GUANAMBI;MORRO DE DENTRO;01420.102073/2019-75;CERTIFICADA;236/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;TREMENDAL;TAPIOCONGA;01420.101752/2019-27;CERTIFICADA;235/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;CE;MORRINHOS;JUNCO MANSO I;01420.101895/2018-58;CERTIFICADA;241/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;BACURI;PONTA SECA;01420.102023/2019-98;CERTIFICADA;234/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;BACURI;JURUPIRANGA;01420.102019/2019-20;CERTIFICADA;240/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;CURURUPU;CONCEIÇÃO, ESTIVINHA E VILA PARIS;01420.101395/2019-05;CERTIFICADA;233/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;FORTUNA DE MINAS;BEIRA DO CÓRREGO E RETIRO DOS MOREIRAS;01420.102026/2019-21;CERTIFICADA;239/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;RN;JUNDIA;ARISCO DOS PIRES;01420.101391/2019-19;CERTIFICADA;228/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;RN;JUNDIA;REGO DE PEDRA;01420.101392/2019-63;CERTIFICADA;230/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;RN;JUNDIA;FAMÍLIA MASCENAS;01420.101393/2019-16;CERTIFICADA;238/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;RN;JUNDIA;FAMÍLIA QUITÉRIA;01420.101394/2019-52;CERTIFICADA;229/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;JANUÁRIA;PAU D´ÓLEO;01420.102317/2019-10;CERTIFICADA;227/19;31/12/2019;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;JANUÁRIA;BOM JANTAR;01420.100112/2019-08;CERTIFICADA;35/2020;07/02/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;VARGEM GRANDE;DESERTO;01420.004103/2013-93;CERTIFICADA;32/2020;07/02/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;PRESIDENTE SARNEY;BRITO;01420.100087/2020-98;CERTIFICADA;33/2020;07/02/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;MIRINZAL;CEDRAL MIRINZAL;01420.100091/2020-56;CERTIFICADA;34/2020;07/02/2020;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;BAIÃO;VILA DE JOANA PERES;01420.100051/2020-12;CERTIFICADA;96/2020;12/05/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;BACURI;ESTIVA DE GADO;01420.103396/2018-03;CERTIFICADA;95/2020;12/05/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;SÃO VICENTE FERRER;JUÇARAL;01420.102385/2019-89;CERTIFICADA;89/2020;12/05/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;AL;MATA GRANDE;SACO DOS MIRANDAS;01420.102374/2019-07;CERTIFICADA;92/2020;12/05/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;SANTA RITA;CEDRO;01420.100253/2020-56;CERTIFICADA;94/2020;12/05/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;CE                     ;PARAMBU;SERRA DOS RODRIGUES;01420.100309/2020-72;CERTIFICADA;90/2020;12/05/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;BACURI;ESTRADA NOVA;01420.102021/2019-07;CERTIFICADA;114/2020;20/07/2020;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;MOJU;CASTELO;01420.100641/2020-37;CERTIFICADA;91/2020;12/05/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;CONDEÚBA;SAPE, SOSSEGO E GUARIBA;01420.101754/2019-16;CERTIFICADA;118/2020;20/07/2020;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;CAETITÉ;LAGOINHA DA COBRA;01420.102678/2018-85;CERTIFICADA;170/2020;15/10/2020;NÃO TEM PROCESSO NO INCRA;
1;CENTRO-OESTE;GO;NIQUELÂNDIA;RUFINO FRANCISCO;01420.011796/2011-17;CERTIFICADA;104/2014;24/09/2014;54150.000529/2013-61 ;
1;NORDESTE;SE;PROPRIÁ;SANTO ANTÔNIO CANAFISTULA;01420.005576/2010-65;CERTIFICADA;28/2011;10/02/2011;54370.000475/2011-88 ;
1;NORDESTE;PE;OLINDA;PORTÃO DO GELO;01420.002300/2006-49;CERTIFICADA;29/2006;13/12/2006;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;SENHOR DO BONFIM;ALTO DA MARAVILHA;01420.001093/2007-96;CERTIFICADA;51/2007;16/05/2007;54160.001827/2013-50;
1;NORTE;TO;ARAGOMINAS;PÉ DO MORRO;01420.005756/2010-47;CERTIFICADA;162/2010;27/12/2010;54400.001357/2011-92 ;
1;NORDESTE;CE;CAUCAIA;CERCADÃO DO DICETAS;01420.013928/2011-37;CERTIFICADA;64/2012;04/04/2012;NÃO TEM PROCESSO NO INCRA;
1;SUL;RS;PORTO ALEGRE;FAMÍLIA MACHADO;01420.003766/2014-71;CERTIFICADA;61/2014;21/05/2014;54220.003126/2013-01;
1;NORDESTE;PB;POMBAL;OS BARBOSAS;01420.010112/2015-85;CERTIFICADA;316/2018;23/11/2018;NÃO TEM PROCESSO NO INCRA;
1;SUL;RS;SALTO DO JACUÍ;QUILOMBOLAS URBANOS DO JACUÍ;01420.102293/2018-18;CERTIFICADA;329/2018;04/12/2018;NÃO TEM PROCESSO NO INCRA;
1;CENTRO-OESTE;GO;IPORÁ;PILÕES;01420.103266/2018-62;CERTIFICADA;384/2018;28/12/2018;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;BELO HORIZONTE;FAMÍLIA SOUZA;01420.101304/2019-23;CERTIFICADA;126/2019;18/07/2019;54000.104072/2019-72;
1;NORDESTE;MA;SÃO LUÍS;QUILOMBO DA LIBERDADE;01420.103053/2018-31 ;CERTIFICADA;192/2019;14/11/2019;NÃO TEM PROCESSO NO INCRA;
1;CENTRO-OESTE;GO;SANTA CRUZ DE GOIÁS;MUCAMBO;01420.102326/2018-20;CERTIFICADA;236/2018;27/09/2018;54000.118821/2019 49;
1;CENTRO-OESTE;GO;CAIAPÔNIA;CRISTININHA;01420.103260/2018-95;CERTIFICADA;358/2018;19/12/2018;NÃO TEM PROCESSO NO INCRA;
1;CENTRO-OESTE;GO;NIQUELÂNDIA;VARGEM GRANDE DO MUQUÉM;01420.103545/2018-26;CERTIFICADA;370/2018;20/12/2018;NÃO TEM PROCESSO NO INCRA;
1;CENTRO-OESTE;GO;VILA PROPÍCIO;CACHOEIRINHA;01420.103541/2018-48;CERTIFICADA;372/2018;20/12/2018;NÃO TEM PROCESSO NO INCRA;
1;CENTRO-OESTE;GO;PILAR DE GOIÁS;PAPUÃ;01420.103542/2018-92;CERTIFICADA;367/2018;19/12/2018;NÃO TEM PROCESSO NO INCRA;
1;CENTRO-OESTE;GO;CORUMBÁ DE GOIÁS;VALE DO RIO CORUMBÁ;01420.103544/2018-81;CERTIFICADA;371/2018;20/12/2018;54000.072240/2020-97;
1;SUL;RS;RESTINGA SECA;SÃO MIGUEL;01420.000034/2003-77;CERTIFICADA;19/2004;04/06/2004;54220.000257/2005-19;DECRETO NO DOU
1;SUDESTE;MG;SÃO JOÃO DA PONTE | VARZELÂNDIA | VERDELÂNDIA;BREJO DOS CRIOULOS (composta pelos povoados: Arapuín, Araruba, Cabaceiros, Caxambu, Conrado e Furado Seco);01420.000308/1999-90;CERTIFICADA;19/2004;04/06/2004;54170.008821/0203-12;DECRETO NO DOU
1;SUL;SC;ABDON BATISTA | CAMPOS NOVOS;INVERNADA DOS NEGROS;01420.000155/2004-08;CERTIFICADA;19/2004;04/06/2004;54210.000354/2004-40 ;TITULAÇÃO PARCIAL
1;SUL;RS;RIO PARDO;RINCÃO DOS NEGROS;01420.000267/2003-70;CERTIFICADA;19/2004;04/06/2004;54220.000398/2005-31;RTID
1;NORDESTE;MA;MATA ROMA;BOM SUCESSO DOS NEGROS;01420.000319/1998-25;CERTIFICADA;19/2004;04/06/2004;54230.003668/2005-47 ;
1;NORDESTE;RN;PARELHAS;BOA VISTA DOS NEGROS;01420.000004/2002-80;CERTIFICADA;19/2004;04/06/2004;54330.001762/2004-52 ;DECRETO NO DOU
1;CENTRO-OESTE;GO;NOVA ROMA;QUILOMBOLA DO MAGALHÃES;01420.000121/2004-13;CERTIFICADA;19/2004;04/06/2004;54700.000956/2006-47 ;DECRETO NO DOU
1;NORDESTE;SE;PORTO DA FOLHA;MOCAMBO;01420.000185/1998-60;CERTIFICADA;19/2004;04/06/2004;54700.000256/2005-51 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
1;NORDESTE;SE;AMPARO DE SÃO FRANCISCO | TELHA;LAGOA DOS CAMPINHOS;01420.000333/2003-10;CERTIFICADA;19/2004;04/06/2004;54370.000520/2004-75 ;TITULAÇÃO PARCIAL
1;NORTE;RO;SÃO FRANCISCO DO GUAPORÉ;SANTO ANTÔNIO DO GUAPORÉ;01420.000359/2003-50;CERTIFICADA;19/2004;04/06/2004;54300.000746/2005-81 ;RTID
1;NORDESTE;BA;BOM JESUS DA LAPA | MALHADA;NOVA BATALHINHA;01420.000188/2003-69;CERTIFICADA;35/2004;10/12/2004;54160.001500/2006-59;DECRETO NO DOU
1;NORDESTE;PB;SANTA LUZIA;SERRA DO TALHADO;01420.000195/2004-41;CERTIFICADA;19/2004;04/06/2004;54320.000417/2005-00 ;PORTARIA NO DOU
1;NORTE;PA;SANTARÉM;SARACURA;01420.000270/2004-74;CERTIFICADA;19/2004;04/06/2004;54105.002169/2003-14 ;PORTARIA NO DOU
1;NORTE;PA;SALVATERRA;CAMPINA;01420.000188/2004-40;CERTIFICADA;19/2004;04/06/2004;54100.000321/2004-47 ;
1;NORTE;PA;SANTARÉM;ARAPEMÃ;01420.000011/2004-43;CERTIFICADA;19/2004;04/06/2004;54105.002167/2003-13;PORTARIA NO DOU
1;NORTE;PA;VISEU | BOA VISTA DO GURUPI;PACA E ANINGAL;01420.000189/2004-94;CERTIFICADA;19/2004;04/06/2004;54100.002084/2003-78;TITULADO
1;NORTE;PA;CACHOEIRA DO PIRIÁ;BELA AURORA;01420.000425/2002-19;CERTIFICADA;19/2004;04/06/2004;54100.000552/2004-51;
1;NORDESTE;MA;ITAPECURU-MIRIM;SANTA MARIA DOS PINHEIROS;01420.000008/1999-10;CERTIFICADA;19/2004;04/06/2004;54230.003776/2004-39 ;RTID
1;NORDESTE;MA;SANTA RITA;SANTA LUZIA;01420.000255/2004-26;CERTIFICADA;19/2004;04/06/2004;54230.002866/2007-55 ;
1;NORDESTE;MA;ITAPECURU-MIRIM;MATA DE SÃO BENEDITO;01420.000254/2004-81;CERTIFICADA;19/2004;04/06/2004;54230.001494/2005-88 ;TITULAÇÃO PARCIAL
1;NORDESTE;BA;WANDERLEY;RIACHO DA SACUTIABA e SACUTIABA;01420.000096/1997-51;CERTIFICADA;19/2004;04/06/2004;54160.003689/2004-52;RTID
1;NORDESTE;BA;BREJOLÂNDIA | MUQUÉM DE SÃO FRANCISCO | SÍTIO DO MATO;JATOBÁ;01420.000323/1999-83;CERTIFICADA;35/2004;10/12/2004;54160.003688/2004-16;
1;NORDESTE;BA;SIMÕES FILHO;DANDÁ;01420.000364/2002-81;CERTIFICADA;35/2004;10/12/2004;54160.000234/2006-47;DECRETO NO DOU
1;SUDESTE;SP;ELDORADO;ANDRÉ LOPES;01420.000584/2004-77;CERTIFICADA;35/2004;10/12/2004;54190.003185/2004-05 ;
1;NORDESTE;BA;BOM JESUS DA LAPA | MALHADA | RIACHO DE SANTANA;RIO DAS RÃS;01420.000391/1995-74;CERTIFICADA;35/2004;10/12/2004;54160.002525/2013-07;TRD  - Despacho de 15/07/2000 - 18/07/2000
1;SUL;RS;PORTO ALEGRE;FAMÍLIA SILVA;01420.000240/2003-87;CERTIFICADA;35/2004;10/12/2004;54220.022094/2004-28;TITULADA FCP
1;SUL;RS;PORTO ALEGRE;AREAL LUIZ GUARANHA;01420.000304/2004-21;CERTIFICADA;35/2004;10/12/2004;54220.000401/2005-97;PORTARIA NO DOU
1;SUL;RS;SERTÃO;MORMAÇA;01420.000015/2003-41;CERTIFICADA;35/2004;10/12/2004;54220.001784/2005-41;PORTARIA NO DOU
1;SUL;RS;SERTÃO;ARVINHA;01420.000035/2003-11;CERTIFICADA;35/2004;10/12/2004;54220.001305/2005-96;PORTARIA NO DOU
1;SUDESTE;MG;PARACATU;FAMÍLIA DOS AMAROS;01420.000198/2002-13;CERTIFICADA;35/2004;10/12/2004;54170.008897/2003-48 ;RTID
1;SUDESTE;RJ;CABO FRIO | SÃO PEDRO DA ALDEIA;CAVEIRA;01420.000360/1998-29;CERTIFICADA;35/2004;10/12/2004;54180.001482/2004-13 ;PORTARIA NO DOU
1;SUL;SC;PRAIA GRANDE | MAMPITUBA;SÃO ROQUE;01420.000381/2004-81;CERTIFICADA;35/2004;10/12/2004;54210.000262/2005-41 ;RTID
1;NORDESTE;BA;CACHOEIRA;CAONGE, DENDÊ, ENGENHO DA PONTE, ENGENHO DA PRAIA E KALEMBA;01420.000363/2004-07;CERTIFICADA;35/2004;10/12/2004;54160.003747/2011-77;RTID
1;NORDESTE;BA;CACHOEIRA;CAIMBONGO;01420.000364/2004-43;CERTIFICADA;35/2004;10/12/2004;54160.000244/2013-10;
1;NORDESTE;BA;CACHOEIRA;CALOLÉ, IMBIARA E TOMBO;01420.000362/2004-54;CERTIFICADA;35/2004;10/12/2004;54160.001064/2010-02;
1;NORDESTE;BA;CACHOEIRA;ENGENHO DA VITORIA;01420.000361/2004-18;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;SÃO FRANCISCO;BURITI DO MEIO;01420.000382/2004-25;CERTIFICADA;35/2004;10/12/2004;54170.003747/2005-18;
1;NORTE;PA;SANTARÉM;BOM JARDIM;01420.000383/2004-70;CERTIFICADA;35/2004;10/12/2004;54105.002171/2003-85 ;DECRETO NO DOU
1;NORDESTE;BA;BOM JESUS DA LAPA;JUÁ;01420.000184/1999-89;CERTIFICADA;35/2004;10/12/2004;54160.001074/2010-30;
1;NORDESTE;BA;BOM JESUS DA LAPA;BANDEIRA;01420.000185/1999-41;CERTIFICADA;35/2004;10/12/2004;54160.001074/2010-30;
1;NORDESTE;BA;MALHADA;PARATECA E PAU D'ARCO;01420.000051/1998-02;CERTIFICADA;35/2004;10/12/2004;54160.003690/2004-87;TITULAÇÃO PARCIAL
1;NORDESTE;BA;SÍTIO DO MATO;BARRO VERMELHO E MANGAL;01420.000435/1997-45;CERTIFICADA;35/2004;10/12/2004;54160.002608/2008-21;TRD  - Despacho de 15/07/2000 - 18/07/2000
1;NORDESTE;BA;BOM JESUS DA LAPA;LAGOA DO PEIXE;01420.000282/1998-17;CERTIFICADA;35/2004;10/12/2004;54160.003687/2004-63;DECRETO NO DOU
1;NORDESTE;CE;TURURU;ÁGUA PRETA;01420.000346/2004-61;CERTIFICADA;35/2004;10/12/2004;54130.003558/2005-11 ;RTID
1;NORDESTE;CE;TURURU;CONCEIÇÃO DOS CAETANOS;01420.000047/1998-28;CERTIFICADA;35/2004;10/12/2004;54130.001695/2006-94 ;
1;SUDESTE;RJ;RIO DE JANEIRO;FAMÍLIA PINTO - Sacopã;01420.000425/1999-53;CERTIFICADA;35/2004;10/12/2004;54180.000712/2005-18;
1;NORDESTE;BA;SIMÕES FILHO;PITANGA DOS PALMARES;01420.000351/2004-74;CERTIFICADA;35/2004;10/12/2004;54160.001675/2008-28;
1;NORTE;TO;ARRAIAS;LAGOA DA PEDRA;01420.000389/2004-47;CERTIFICADA;35/2004;10/12/2004;54400.001304/2006-12 ;
1;NORDESTE;MA;ITAPECURU-MIRIM;PIQUI E SANTA MARIA DOS PRETOS;01420.000257/2004-15;CERTIFICADA;35/2004;10/12/2004;54230.001497/2005-11;TITULAÇÃO PARCIAL
1;SUL;PR;PINHÃO|GUARAPUAVA |RESERVA DO IGUAÇU;INVERNADA PAIOL DE TELHA;01420.000031/1997-06;CERTIFICADA;35/2004;10/12/2004;54200.001727/2005-08 ;DECRETO NO DOU
1;SUDESTE;MG;PARACATU;MACHADINHO;01420.000256/2004-71;CERTIFICADA;35/2004;10/12/2004;54170.003688/2005-70;RTID
1;SUDESTE;MG;PARACATU;SÃO DOMINGOS;01420.000339/1998-32;CERTIFICADA;35/2004;10/12/2004;54170.000059/2004-15;RTID
1;NORDESTE;BA;MARAGOGIPE;SALAMINAS ;01420.000509/2004-14;CERTIFICADA;35/2004;10/12/2004;54160.004694/2005-63;
1;NORDESTE;BA;SALVADOR;BANANEIRAS;01420.000510/2004-31;CERTIFICADA;35/2004;10/12/2004;54160.001114/2008-29;RTID
1;NORTE;PA;SANTARÉM;TININGU;01420.000350/2004-20;CERTIFICADA;35/2004;10/12/2004;54105.002172/2003-20 ;RTID
1;SUDESTE;RJ;CABO FRIO;PRETO FORRO;01420.000166/2003-07;CERTIFICADA;35/2004;10/12/2004;54180.001270/2004-28;TITULADO
1;NORDESTE;PE;ÁGUAS BELAS;QUILOMBO;01420.000283/2002-81;CERTIFICADA;35/2004;10/12/2004;54140.004353/2007-98 ;
1;SUDESTE;ES;CONCEIÇÃO DA BARRA;ANGELIM, ANGELIM DISA, ANGELIM II, ANGELIM III E CÓRREGO DO MACUCO;01420.002134/2006-81;CERTIFICADA;35/2004;10/12/2004;54340.000131/2012-15 ;
1;NORDESTE;PE;PASSIRA;CHÃ DOS NEGROS;01420.000286/2002-15;CERTIFICADA;35/2004;10/12/2004;54140.000266/2008-42 ;
1;NORDESTE;PE;GARANHUNS;TIMBÓ;01420.000352/2001-76;CERTIFICADA;35/2004;10/12/2004;54140.000472/2005-18 ;RTID
1;NORDESTE;PE;BEZERROS;GUARIBAS;01420.000288/2002-12;CERTIFICADA;35/2004;10/12/2004;54140.001175/2012-19 ;
1;NORTE;PA;GURUPÁ;JOCOJÓ;01420.000523/2004-18;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;PE;SÃO BENTO DO UNA;SERROTE DO GADO BRABO;01420.000284/2002-26;CERTIFICADA;35/2004;10/12/2004;54140.001634/2004-46 ;
1;NORTE;PA;GURUPÁ;ALTO IPIXUNA;01420.000529/2004-87;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;GURUPÁ;CARRAZEDO;01420.000525/2004-07;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;GURUPÁ;FLEXINHA;01420.000524/2004-54;CERTIFICADA;35/2004;10/12/2004;54100.001488/2015-88;
1;NORTE;PA;GURUPÁ;GURUPÁ MIRIM;01420.000530/2004-10;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;GURUPÁ;MARIA RIBEIRA;01420.002754/2006-10;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;GURUPÁ;CAMUTÁ DO IPIXUNA;01420.000526/2004-43;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;GURUPÁ;SÃO FRANCISCO MÉDIO DO IPIXUNA;01420.001193/2005-51;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;GURUPÁ;BACÁ DO IPIXUNA;01420.000517/2004-52;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;GURUPÁ;ALTO PUCURUÍ;01420.000527/2004-98;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;FILADÉLFIA;GAVIÃO;01420.000345/2004-17;CERTIFICADA;35/2004;10/12/2004;54400.003291/2007-99;
1;NORDESTE;BA;FILADÉLFIA;RIACHO DAS PEDRINHAS;01420.000429/2004-51;CERTIFICADA;35/2004;10/12/2004;54160.001818/2013-69;
1;NORDESTE;BA;FILADÉLFIA;CAJÁ;01420.000428/2004-14;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;WANDERLEY;CACHIMBO;01420.000580/2004-99;CERTIFICADA;35/2004;10/12/2004;NÃO TEM PROCESSO NO INCRA;
1;SUL;SC;PORTO BELO;VALONGO;01420.000528/2004-32;CERTIFICADA;35/2004;10/12/2004;54210.001046/2006-01 ;
1;NORDESTE;BA;MALHADA;TOMÉ NUNES;01420.000604/2004-18;CERTIFICADA;35/2004;10/12/2004;54160.001501/2008-65;
1;NORDESTE;RN;POÇO BRANCO;ACAUÃ;01420.000603/2004-65;CERTIFICADA;35/2004;10/12/2004;54330.001908/2004-60 ;CDRU
1;SUDESTE;MG;JOÃO PINHEIRO;SANTANA DO CAATINGA;01420.000348/2004-51;CERTIFICADA;35/2004;10/12/2004;54170.008056/2005-01;
1;SUDESTE;MG;VAZANTE;BAGRES;01420.000338/2003-34;CERTIFICADA;35/2004;10/12/2004;54170.007020/2005-00;
